"x","dists"
49000,0.0140266504384887
59000,0.016208863391194
69000,0.0155633811293228
79000,0.0148152178844894
89000,0.0123562693856355
99000,0.00929140199227768
109000,0.00924160568566569
119000,0.00842099991507747
129000,0.00735572623656706
139000,0.00704022144824759
149000,0.0056141625828068
159000,0.00702455433943708
169000,0.00671620336844716
179000,0.00622428066491125
189000,0.00566483569879627
199000,0.00490796728679768
209000,0.00425224437802014
219000,0.00466736205569586
229000,0.00458824195020222
239000,0.00440454518234201
249000,0.00395296629956264
259000,0.00422744663685164
269000,0.00344306372622582
279000,0.00477922234430614
289000,0.00395842218344533
299000,0.00391286229025797
309000,0.00406636614310102
319000,0.00507804080119187
329000,0.00521476456200386
339000,0.00496419030466724
349000,0.00512317291466196
359000,0.00520928003774733
369000,0.00499856881714632
379000,0.00430922839533896
389000,0.00406700310924843
399000,0.00396021893808957
409000,0.00431679903228646
419000,0.00427054092301988
429000,0.00417416210549396
439000,0.0046093327462845
449000,0.00387245056653736
459000,0.00376436533212389
469000,0.00346512692312216
479000,0.00298446165092758
489000,0.00300387234332641
499000,0.00321897668425305
509000,0.00278847243303462
519000,0.00303967495618634
529000,0.00299916378825817
539000,0.00308388337390717
549000,0.00306363434092879
559000,0.00281826994283256
569000,0.00282719472209133
579000,0.00265242337623091
589000,0.00275452453106171
599000,0.00293883435221994
609000,0.00306521512936708
619000,0.00274955377877047
629000,0.00259902377634617
639000,0.00255284581215588
649000,0.00225943586248543
659000,0.00236480210236722
669000,0.00223648532768524
679000,0.00246324887039194
689000,0.00258942597368519
699000,0.00258988488804287
709000,0.00233893851485259
719000,0.00249838691895257
729000,0.00232144933070516
739000,0.00210097115486542
749000,0.00190387444806464
759000,0.00186715830270164
769000,0.00187689604523617
779000,0.00177132356429523
789000,0.00167093109247292
799000,0.00165498015205941
809000,0.00159701960468086
819000,0.0015447636212118
829000,0.00154587347442204
839000,0.00170242629426876
849000,0.00186907972410367
859000,0.00174165677202491
869000,0.00176522066499101
879000,0.00177957297661139
889000,0.00175128652532925
899000,0.00173082198746442
